Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor9,Access a Healthy and Fit Force,Accession of a Healthy and Fit Force,Does not support,0,,,
Vendor9,Access a Healthy and Fit Force,"Collect medical, biological history",Does not support,0,,,
Vendor9,Access a Healthy and Fit Force,EHRs tracking starts here To evaluate physical and mental injury and treatment records,Does not support,0,,,
Vendor9,Access a Healthy and Fit Force,Remedial programs to raise condition of potential accessions to meet military standards,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Dental),Document care provided,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Dental),Identify patients who will benefit from ambulatory diagnostic testing,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Dental),Perform diagnostic test or procedure,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Dental),Prepare patient for diagnostic test or procedure,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Dental),Provide patient with post diagnostic test instructions,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Dental),Recover Patient,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Medical),Document care provided,Out of the box with customization,0,,,
Vendor9,Ambulatory Diagnostic Services (Medical),Identify patients who will benefit from ambulatory diagnostic testing,Out of the box with customization,0,,,
Vendor9,Ambulatory Diagnostic Services (Medical),Perform diagnostic test or procedure,Out of the box with customization,0,,,
Vendor9,Ambulatory Diagnostic Services (Medical),Prepare patient for diagnostic test or procedure,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Medical),Provide patient with post diagnostic test instructions,Does not support,0,,,
Vendor9,Ambulatory Diagnostic Services (Medical),Recover Patient,Does not support,0,,,
Vendor9,Amputee Care,Coordinate all medical and therapeutic services,Does not support,0,,,
Vendor9,Amputee Care,"Establish a registry for limb loss, limb at risk and limb salvage patients",Does not support,0,,,
Vendor9,Amputee Care,"Identify those with limb loss, at risk of limb loss, or who have had limb salvage",Does not support,0,,,
Vendor9,Amputee Care,"Incorporate advanced capabilities as they become available, including identification of candidates for limb transplantation",Does not support,0,,,
Vendor9,Amputee Care,Provide holistic rehabilitation treatment,Does not support,0,,,
Vendor9,Medical Logistics: Blood Operational Tasks ,Manage the Class VIII-B Materiel Throughout End to- End Supply Chain,Out of box with Configuration,0,,,
Vendor9,Burn Care,Coordinate all medical and therapeutic services,Out of box with Configuration,0,,,
Vendor9,Burn Care,"Establish a registry for those beneficiaries with skin, deep tissue or respiratory burns",Out of box with Configuration,0,,,
Vendor9,Burn Care,Incorporate advanced capabilities as they become available,Out of box with Configuration,0,,,
Vendor9,Burn Care,Provide burn care,Out of box with Configuration,0,,,
Vendor9,Burn Care,Provide holistic rehabilitation treatment,Out of box with Configuration,0,,,
Vendor9,Case Management,Assessment of clients,Out of box with Configuration,0,,,
Vendor9,Case Management,Assist with Transition of Care,Out of box with Configuration,0,,,
Vendor9,Case Management,Care Coordination,Out of box with Configuration,0,,,
Vendor9,Case Management,Development and Implementation of Plan of Care,Out of box with Configuration,0,,,
Vendor9,Case Management,Evaluate and Monitor Outcomes,Out of box with Configuration,0,,,
Vendor9,Case Management,Identification of potential clients,Out of box with Configuration,0,,,
Vendor9,Case Management,Maintain a licensed professional staff,Out of box with Configuration,0,,,
Vendor9,Community Health Education,Assess the community health education requirements of specific DoD populations,Out of box with Configuration,0,,,
Vendor9,Community Health Education,Deliver effective community health education programs,Out of box with Configuration,0,,,
Vendor9,Community Health Education,"Develop evidence-based, cost-effective community health education programs",Out of box with Configuration,0,,,
Vendor9,Community Health Education,Evaluate the effectiveness of community health education programs,Out of box with Configuration,0,,,
Vendor9,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Determine personal and professional development needs of the medical force,Out of box with Configuration,0,,,
Vendor9,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Medical Professional and Leadership Development Training,Out of box with Configuration,0,,,
Vendor9,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Military Professionals with Continuing Health Education to maintain competency,Out of box with Configuration,0,,,
Vendor9,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Determine education and training requirements - needs,Out of box with Configuration,0,,,
Vendor9,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Evaluate Training Programs,Out of box with Configuration,0,,,
Vendor9,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Provide high-quality basic and specialty military medical training,Out of box with Configuration,0,,,
Vendor9,Dental Care,Diagnosis,Out of box with Configuration,0,,,
Vendor9,Dental Care,Document detainee dental care,Out of box with Configuration,0,,,
Vendor9,Dental Care,Emergency dental care,Out of box with Configuration,0,,,
Vendor9,Dental Care,Restore to health,Out of box with Configuration,0,,,
Vendor9,Dental Care,Routine dental care,Out of box with Configuration,0,,,
Vendor9,Emergency Detainee Healthcare,Document healthcare,Out of box with Configuration,0,,,
Vendor9,Emergency Detainee Healthcare,First responder,Out of box with Configuration,0,,,
Vendor9,Emergency Detainee Healthcare,Resuscitative care,Out of box with Configuration,0,,,
Vendor9,Detainee Healthcare,Diagnosis,Out of box with Configuration,0,,,
Vendor9,Detainee Healthcare,Document detainee healthcare,Out of the box with configuration,0,,,
Vendor9,Detainee Healthcare,Liaison with security,Out of the box with configuration,0,,,
Vendor9,Detainee Healthcare,Report suspected detainee abuse,Does not support,0,,,
Vendor9,Detainee Healthcare,Restore to health,Out of box with Configuration,0,,,
Vendor9,Detainee Healthcare,Routine detainee healthcare,Does not support,0,,,
Vendor9,Detainee Healthcare,Rule on legal issues,Out of the box with customization,0,,,
Vendor9,Disability Counseling and Coaching,Case closure,Out of the box with configuration,0,,,
Vendor9,Disability Counseling and Coaching,Coordinate,Out of box with Configuration,0,,,
Vendor9,Disability Counseling and Coaching,Counsel,Out of box with Configuration,0,,,
Vendor9,Disability Counseling and Coaching,Document- Manage Medical and Non-medical Information,Out of box with Customization,0,,,
Vendor9,Disability Counseling and Coaching,Educate PEBLOs- Counselors,Out of the box with customization,0,,,
Vendor9,Disability Counseling and Coaching,Identify severely ill or injured service members,Out of the box with customization,0,,,
Vendor9,Disability Counseling and Coaching,Measure Outcomes,Out of the box with configuration,0,,,
Vendor9,Disability Counseling and Coaching,Research and Knowledge transfer capability,Customization,0,,,
Vendor9,Disease Management (DM),Adoption and Implementation of Evidence-Based Clinical Practice Guidelines,Does not support,0,,,
Vendor9,Disease Management (DM),Feedback and Reporting to Stakeholders,Does not support,0,,,
Vendor9,Disease Management (DM),Population Identification,Does not support,0,,,
Vendor9,Disease Management (DM),"Process and Outcome Measurement, Evaluation and Management",Does not support,0,,,
Vendor9,Disease Management (DM),Provide Patient Self-Management,Does not support,0,,,
Vendor9,Disease Management (DM),Utilization of Collaborative Practice Models,Does not support,0,,,
Vendor9,Emergency Medical Services,Access and Dispatch,Does not support,0,,,
Vendor9,Emergency Medical Services,Complete and Archive EMS incident reports,Does not support,0,,,
Vendor9,Emergency Medical Services,Disposition,Does not support,0,,,
Vendor9,Emergency Medical Services,Medical Direction,Does not support,0,,,
Vendor9,Emergency Medical Services,Provide Acute and Routine care,Does not support,0,,,
Vendor9,Emergency Medical Services,Provide Incident Site Care,Does not support,0,,,
Vendor9,Emergency Medical Services,Receive and treat casualties,Does not support,0,,,
Vendor9,Emergency Medical Services,Surge and Expand Hospital Capacity,Does not support,0,,,
Vendor9,Emergency Medical Services,Triage and Treatment,Does not support,0,,,
Vendor9,Ensure the Physical and Mental Health of the Redeployed Force.,Detailed post-deployment surveys and follow-up surveys and assessments,Does not support,0,,,
Vendor9,Ensure the Physical and Mental Health of the Redeployed Force.,Ensure physical and mental health of returned Warfighters,Does not support,0,,,
Vendor9,Ensure the Physical and Mental Health of the Redeployed Force.,Establish routine programs to support post-deployment adjustments for all redeployed forces,Does not support,0,,,
Vendor9,Ensure the Physical and Mental Health of the Redeployed Force.,Restore-enhance health and fitness of casualties,Does not support,0,,,
Vendor9,Health Counseling,Define the preventive health counseling requirements of specific DoD populations,Does not support,0,,,
Vendor9,Health Counseling,Educate targeted populations and the healthcare givers who serve these populations on the need for preventive health counseling (this may overlap with community health education),Does not support,0,,,
Vendor9,Health Counseling,Promote preventive health counseling research,Does not support,0,,,
Vendor9,Health Counseling,"Provide evidence- based, cost-effective Class A & B preventive health counseling services",Does not support,0,,,
