Capability,Task,BusinessLogicUnit,Service,SupportLevel,CustomizationEffort,System,Comments,Vendor,C:\Users\ksmart\workspace64bit\SEMOSS\db\VendorSelection\BluService.prop
Physical_Therapy,"Determine_the_diagnosis,_prognosis,_and_appropriate_treatment_plan_related_to_impairments,_disability_or_other_health-related_conditions_that_result_in_functional_limitations.",Order_Optimization,,Does not support,0,Procyon 15X,,Procyon,
Intensive_Care,Evaluate_and_implement_as_appropriate_advanced_Technologies_to_best_preserve_life_and_limb.,Order_Optimization,,Supports with customization,144,Procyon 15X,,Procyon,
Intensive_Care,Completely_document_patient_care_delivered_and_have_information_included_in_patient_medical_record,Document_Management,,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Surge_and_Expand_ICU_Capacity_awaiting_additional_staffing_or_patient_transfer,Document_Management,,Supports with configuration,44,Procyon 15X,,Procyon,
Intensive_Care,Completely_document_patient_care_delivered_and_have_information_included_in_patient_medical_record,Regulation_Compliance_Validation,,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Support_Research_and_Graduate_Medical_Education_(GME),Regulation_Compliance_Validation,,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Ability_to_have_ongoing_Critical_Incident_Monitoring_and_Quality_Improvement,Incident_Review,,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Evaluate_and_implement_as_appropriate_advanced_Technologies_to_best_preserve_life_and_limb.,Vendor_Filtering,,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,"Assess_patient_for_appropriateness_of_ICU_admission,_transfer_or_general_medical-surgical-pediatric_ward_admission",Assessment_Correlation,Amend_Health_Information,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Support_Research_and_Graduate_Medical_Education_(GME),Credential_Validation,Assign_Permissions_to_Other_Providers,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,"Assess_patient_for_appropriateness_of_ICU_admission,_transfer_or_general_medical-surgical-pediatric_ward_admission",Assessment_Correlation,Compare_Assessment_Against_Standards_and_Practices,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,"Assess_patient_for_appropriateness_of_ICU_admission,_transfer_or_general_medical-surgical-pediatric_ward_admission",Assessment_Correlation,Compare_with_Assessment_with_Problem_List,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Evaluate_and_implement_as_appropriate_advanced_Technologies_to_best_preserve_life_and_limb.,Process_Workflow_Generation,Customize_Care_Pathway,Supports with configuration,32,Procyon 15X,,Procyon,
Physical_Therapy,"Determine_the_diagnosis,_prognosis,_and_appropriate_treatment_plan_related_to_impairments,_disability_or_other_health-related_conditions_that_result_in_functional_limitations.",Treatment_Plan_Generation,Customize_Care_Plan,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Deliver_the_full_spectrum_of_critical_care_medicine_(medical_and_surgical;_across_all_age_continuums_in_age_appropriate_manner),Treatment_Plan_Generation,Customize_Care_Plan,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Ability_to_have_ongoing_Critical_Incident_Monitoring_and_Quality_Improvement,Treatment_Plan_Generation,Customize_Care_Plan,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,"Assess_patient_for_appropriateness_of_ICU_admission,_transfer_or_general_medical-surgical-pediatric_ward_admission",Assessment_Correlation,Evaluate_Outcomes,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,"Assess_patient_for_appropriateness_of_ICU_admission,_transfer_or_general_medical-surgical-pediatric_ward_admission",Assessment_Correlation,Evaluate_Results,Supports out of box,16,Procyon 15X,,Procyon,
Physical_Therapy,"Determine_the_diagnosis,_prognosis,_and_appropriate_treatment_plan_related_to_impairments,_disability_or_other_health-related_conditions_that_result_in_functional_limitations.",Treatment_Plan_Generation,Get-Set_Care_Plan_Decision_Point,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Deliver_the_full_spectrum_of_critical_care_medicine_(medical_and_surgical;_across_all_age_continuums_in_age_appropriate_manner),Treatment_Plan_Generation,Get-Set_Care_Plan_Decision_Point,Supports with configuration,32,Procyon 15X,,Procyon,
