Capability,Task,BusinessProcess,Activity,SupportLevel,CustomizationEffort,System,Comments,Vendor,C:\Users\ksmart\workspace64bit\SEMOSS\db\VendorSelection\BusinessActivity.prop
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,"Access_Appropriate_Guidelines,_Protocols_to_Determine_Most_Appropriate_Intervention",Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,ApplyBeneficiary_Care_Management_Guidelines,Supports with configuration,32,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Assess_Appropriate_Beneficiary_Care_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Coordinate_Workflow_and_Case_Management_Procedures,Supports with configuration,32,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Direct_Care_Record_Management_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Document_Care_Plans_and_Delivery_of_Service,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Evaluate_Beneficiary_Health_Status,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Initiate_Care_Plan_and_Perform_Intervention_Service,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Maintain_Beneficiary_Health_Profile,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Manage_Beneficiary_Encounter,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Manage_Orders_and_Referrals,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Monitor_Health_Status_and_Progress,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Provide_Appropriate_Level_of_Care_and_Service,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Provide_Direct_Care_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Verify_Completion_ofHealthcare_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,"Develop_and_Implement_Measurement_Data_Collection,_Analysis,_and_Reporting_Procedures",Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Identify_Appropriate_Performance_Measures_and_Standards,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Initiate_Care_Plan_and_Perform_Intervention_Service,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,"Maintain_Policies,_Procedures_and_Monitoring_of_Care_Issues",Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Manage_Radiation_Control_Program,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Manage_and_Report_Incidents,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Monitor_Process_and_Performance_Indicators,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Monitor_and_Report_Compliance_to_Standards_and_Outcomes,Supports with configuration,32,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Provide_Policy_and_Procedures_for_Anesthesia_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Assess_Appropriate_Beneficiary_Care_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Document_Care_Plans_and_Delivery_of_Service,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Evaluate_Beneficiary_Health_Status,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Maintain_Beneficiary_Health_Profile,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Manage_Beneficary_Referral_Process,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Manage_Beneficiary_Encounter,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Manage_Orders_and_Referrals,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Obtain_Health_Summary_and_Comprehensive_Health_Record,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Obtain_Patient_History,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Plan_Treatment,Supports with configuration,32,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Provide_Direct_Care_Services,Supports with customization,96,Procyon 15X,,Procyon,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Track_Procedures,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,"Access_Appropriate_Guidelines,_Protocols_to_Determine_Most_Appropriate_Intervention",Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Administer_Managed_Care_Contracts,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Collaborate_and_Partner_with_Beneficiary,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Coordinate_Veterans_National_Communication_Outreach,Supports with configuration,32,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Develop_Care_Models_and_Management_Programs_for_Targeted_Populations,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Develop_Evidenced-_Based_Protocols_and_Condition_Guidelines,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Develop_Implementation_Process_for_Population_Health_ManagementPrograms,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,"Develop_Standards_for_Process,_Clinical_Outcomes_and_Metrics",Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Develop_Tools_and_Models_for_Care_Management_Initiatives,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Direct_Care_Record_Management_Services,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Identify_Appropriate_Performance_Measures_and_Standards,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Identify_Initiatives_for_High_Prioritized_Populations,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Implement_Performance_Measures_and_Standards,Supports with customization,96,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Maintain_Beneficiary_Health_Profile,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,"Maintain_Policies,_Procedures_and_Monitoring_of_Care_Issues",Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Manage_Beneficiary_Encounter,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Manage_Capitation,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Incorporate_advanced_capabilities_as_they_become_available,_including_identification_of_candidates_for_limb_transplantation",Manage_Quality_of_Care,Manage_Health_Benefit_Programs,Supports out of box,16,Procyon 15X,,Procyon,
