Capability,Task,BusinessRule,SLA,SupportLevel,CustomizationEffort,System,Comments,Vendor,C:\Users\ksmart\workspace64bit\SEMOSS\db\VendorSelection\BusinessRule.prop
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,99%_identifies_unique_providers_to_address_specific_patient?s_needs,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Apply_a_functional_approach_by_matching_the_individual?s_interests,_skills,_and_abilities__with_activities_that_have__meaning_and_purpose,_including_a_?just_right?_challenge_to_help_clients_attain_a_sense_of_mastery_as_they_transition_back_to_independent,_productive_living",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Continuous_improvement_activities_a_core_component,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Due_to_changes_in_the_needs_of_the_severely_ill_or_injured_warfighter_and_their_family_member(s)-_caregiver(s),_a_plan_is_in_place_for_ongoing_assessments-re-evaluations_of_health_and_progress_95%_of_the_time",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,In_100%_of_cases_model_has_ability_to_accommodate_organizational_change,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Reflects_individualized_patient_needs_and_issues_100%_of_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Reflects_system,_provider,_and_individualized_patient_needs_and_issues",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Service_members?_Assistive_Technology_and_Adaptive_Uniform_needs_are_met_in_a_timely_manner,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Standard_undefined,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,The_plan_reflects_the_need_for_ongoing_assessments-_re-_evaluations_of_health_and_progress_as_a_result_of_changes_occurring_over_time_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Units_and_processes_must_be_designed_to_be_flexible_within_an_environment_of,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Units_and_processes_must_be_designed_to_be_flexible_within_an_environment_of_ever_changing_capabilities,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"100%_of_ACIP-recommended_immunizations_will_be_available_to_all_DoD_healthcare_beneficiaries._Moreover,_all_DoD-required_immunizations_(particularly_contingency-related_immunizations)_will_be_available_to_all_DoD_personnel_who_require_them.",100%_of_ACIP-recommended_and_DoD_Required_immunizations_will_be_available_to_all_DoD_healthcare_beneficiaries.,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,100%_of_Sentinel_Events_(SE)_shall_have_a_comprehensive_Root_Cause_Analysis_(RCA)_performed_to_understand_the_causes_that_underlie_the_event,100%_of_Sentinel_Events_(SE)_shall_have_a_comprehensive_Root_Cause_Analysis_(RCA),Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,100%_of_USPSTF-recommended_preventive_health_counseling_services_will_be_available_to_all_DoD_healthcare_beneficiaries,100%_of_USPSTF-recommended_preventive_health_counseling_services_will_be_available_to_all_DoD_healthcare_beneficiaries,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,100%_of_data_will_be_fully_analyzed_to_evaluate_all_factors,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,95%_training_currency_compliance_with_HIPAA,95%_training_currency_compliance_with_HIPPA,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,95%_training_currency_compliance_with_Privacy_Act,95%_training_currency_compliance_with_Privacy_Act,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,95%_training_currency_compliance_with_other_policy-statutory_training_requirements,95%_training_currency_compliance_with_other_policy-statutory_training_requirements,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,<5%_of_DES_cases_terminated_or_returned_to_the_MTF_by_the_PEB_due_to_missing_clinical_data_or_lack_of_alignment_between_impairment_and_impact_that_did_not_permit_PEB_to_determine_FITNESS_or_UNFITNESS,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,<5%_of_DES_cases_terminated_or_returned_to_the_MTF_by_the_PEB_for_clinical_data_obtained_by_the_DoD_that_was_inadequate_to_determine_fitness_or_unfit,,Supports with configuration,48,Procyon 15X,,Procyon,
