Capability,Task,Business Process,Activity,Support Level,Customization Effort,System,Comments,Vendor
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,"Access_Appropriate_Guidelines,_Protocols_to_Determine_Most_Appropriate_Intervention",,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,ApplyBeneficiary_Care_Management_Guidelines,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Assess_Appropriate_Beneficiary_Care_Services,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Coordinate_Workflow_and_Case_Management_Procedures,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Direct_Care_Record_Management_Services,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Document_Care_Plans_and_Delivery_of_Service,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Evaluate_Beneficiary_Health_Status,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Initiate_Care_Plan_and_Perform_Intervention_Service,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Maintain_Beneficiary_Health_Profile,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Manage_Beneficiary_Encounter,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Manage_Orders_and_Referrals,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Monitor_Health_Status_and_Progress,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Provide_Appropriate_Level_of_Care_and_Service,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Provide_Direct_Care_Services,,,,,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Clinical_Case_Management,Verify_Completion_ofHealthcare_Services,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,"Develop_and_Implement_Measurement_Data_Collection,_Analysis,_and_Reporting_Procedures",,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Identify_Appropriate_Performance_Measures_and_Standards,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Initiate_Care_Plan_and_Perform_Intervention_Service,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,"Maintain_Policies,_Procedures_and_Monitoring_of_Care_Issues",,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Manage_Radiation_Control_Program,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Manage_and_Report_Incidents,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Monitor_Process_and_Performance_Indicators,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Monitor_and_Report_Compliance_to_Standards_and_Outcomes,,,,,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Patient_Safety_and_Reporting,Provide_Policy_and_Procedures_for_Anesthesia_Services,,,,,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Assess_Appropriate_Beneficiary_Care_Services,,,,,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Document_Care_Plans_and_Delivery_of_Service,,,,,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Evaluate_Beneficiary_Health_Status,,,,,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Maintain_Beneficiary_Health_Profile,,,,,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Manage_Beneficary_Referral_Process,,,,,
Amputee_Care,"Identify_those_with_limb_loss,_at_risk_of_limb_loss,_or_who_have_had_limb_salvage",Profiling,Manage_Beneficiary_Encounter,,,,,
